timestamp,arrival,departure,name,link1tt,link2tt,link3tt,link4tt,origin,destination,arrival_orig
2013-02-18 12:30:00,2013-02-18 12:30:00,2013-02-19 04:00:00,1264,0,0,0,0,1,57,2013-02-18 12:30:00
2013-02-23 13:00:00,2013-02-23 13:00:00,2013-02-23 19:00:00,1266,0,0,0,0,1,5,2013-02-23 13:00:00
2013-02-25 19:00:00,2013-02-25 19:00:00,2013-02-26 17:00:00,1268,0,0,0,0,1,59,2013-02-25 19:00:00
2013-02-27 16:30:00,2013-02-27 16:30:00,2013-02-28 05:00:00,1270,0,0,0,0,38,43,2013-02-27 16:30:00
2013-03-02 11:00:00,2013-03-02 11:00:00,2013-03-03 02:00:00,1272,0,0,0,0,1,47,2013-03-02 11:00:00
2013-03-06 05:30:00,2013-03-06 05:30:00,2013-03-09 02:30:00,1274,0,0,0,0,1,73,2013-03-06 05:30:00
2013-03-14 14:30:00,2013-03-14 14:30:00,2013-03-14 19:00:00,1276,0,0,0,0,1,6,2013-03-14 14:30:00
2013-03-14 21:00:00,2013-03-14 21:00:00,2013-03-20 15:30:00,1278,0,0,0,0,4,58,2013-03-14 21:00:00
2013-03-23 16:30:00,2013-03-23 16:30:00,2013-03-24 15:30:00,1280,0,0,0,0,1,37,2013-03-23 16:30:00
2013-03-24 23:00:00,2013-03-24 23:00:00,2013-03-24 23:30:00,1282,0,0,0,0,9,10,2013-03-24 23:00:00
2013-03-25 02:30:00,2013-03-25 02:30:00,2013-03-25 03:30:00,1284,0,0,0,0,4,7,2013-03-25 02:30:00
2013-03-26 20:00:00,2013-03-26 20:00:00,2013-03-27 12:30:00,1286,0,0,0,0,1,44,2013-03-26 20:00:00
2013-03-27 23:30:00,2013-03-27 23:30:00,2013-03-28 00:30:00,1288,0,0,0,0,18,19,2013-03-27 23:30:00
2013-03-28 06:00:00,2013-03-28 06:00:00,2013-03-28 07:00:00,1290,0,0,0,0,6,7,2013-03-28 06:00:00
2013-03-28 08:00:00,2013-03-28 08:00:00,2013-03-28 11:00:00,1292,0,0,0,0,6,7,2013-03-28 08:00:00
2013-04-16 01:30:00,2013-04-16 01:30:00,2013-04-17 03:00:00,1294,0,0,0,0,1,59,2013-04-16 01:30:00
2013-04-20 05:00:00,2013-04-20 05:00:00,2013-04-25 04:00:00,1296,0,0,0,0,5,47,2013-04-20 05:00:00
2013-05-01 03:00:00,2013-05-01 03:00:00,2013-05-01 16:00:00,1298,0,0,0,0,16,47,2013-05-01 03:00:00
2013-05-03 05:30:00,2013-05-03 05:30:00,2013-05-10 04:00:00,1300,0,0,0,0,8,43,2013-05-03 05:30:00
2013-05-13 04:00:00,2013-05-13 04:00:00,2013-05-13 15:30:00,1302,0,0,0,0,7,64,2013-05-13 04:00:00
2013-05-20 02:30:00,2013-05-20 02:30:00,2013-05-22 17:30:00,1304,0,0,0,0,5,64,2013-05-20 02:30:00
2013-05-23 14:00:00,2013-05-23 14:00:00,2013-05-30 00:30:00,1306,0,0,0,0,8,74,2013-05-23 14:00:00
2013-05-31 00:00:00,2013-05-31 00:00:00,2013-06-01 18:00:00,1308,0,0,0,0,1,25,2013-05-31 00:00:00
2013-06-02 04:30:00,2013-06-02 04:30:00,2013-06-06 16:00:00,1310,0,0,0,0,13,39,2013-06-02 04:30:00
2013-06-09 01:30:00,2013-06-09 01:30:00,2013-06-11 03:30:00,1312,0,0,0,0,6,43,2013-06-09 01:30:00
2013-06-13 04:30:00,2013-06-13 04:30:00,2013-06-16 04:00:00,1314,0,0,0,0,4,48,2013-06-13 04:30:00
2013-06-20 04:30:00,2013-06-20 04:30:00,2013-06-22 16:30:00,1316,0,0,0,0,21,45,2013-06-20 04:30:00
