"who","heading","birthday","origin","destination","deathday","id","systemtime"
"909450",270,2313,"74","18",2330,"2421",8.5
"91852",270,203,"74","29",224,"1456",10.5
"91854",90,207,"22","74",263,"273",28
"921062",90,2344,"19","20",2345,"1174",0.5
"928768",270,2366,"74","38",2380,"1472",7
"932650",270,2375,"74","41",2390,"2659",7.5
"940458",90,2391,"38","74",2423,"1473",16
"940460",270,2393,"74","58",2400,"2331",3.5
"952071",270,2425,"74","19",2443,"766",9
"95716",90,210,"19","62",264,"903",27
"959788",270,2449,"74","29",2469,"1474",10
"967574",270,2464,"13","5",2465,"850",0.5
"967575",90,2467,"38","74",2500,"2423",16.5
"983056",270,2508,"74","39",2520,"381",6
"986937",90,2511,"36","74",2555,"2731",22
"986938",270,2511,"21","11",2513,"1110",1
"986939",90,2519,"6","71",2571,"2189",26
"994715",90,2532,"17","74",2607,"2332",37.5
