"who","heading","birthday","origin","destination","deathday","id","systemtime"
"788215",270,2008,"74","5",2039,"653",15.5
"792101",270,2013,"74","3",2044,"2200",15.5
"795958",90,2027,"70","74",2030,"2401",1.5
"799840",270,2030,"74","37",2041,"241",5.5
"799841",90,2033,"11","74",2092,"256",29.5
"799842",270,2034,"74","9",2072,"2450",19
"799844",270,2037,"68","56",2039,"1791",1
"803725",90,2045,"56","58",2046,"1792",0.5
"803727",270,2047,"58","19",2058,"1793",5.5
"807610",90,2054,"9","73",2103,"2451",24.5
"807611",270,2054,"24","19",2055,"141",0.5
"811522",270,2061,"74","56",2068,"320",3.5
"815425",270,2075,"57","3",2098,"324",11.5
"819321",90,2080,"17","23",2083,"2063",1.5
"819322",270,2082,"74","9",2103,"1326",10.5
"819323",270,2083,"23","2",2095,"2064",6
"823184",90,2090,"61","62",2092,"1897",1
"823186",270,2098,"74","29",2123,"2402",12.5
"827067",270,2101,"62","37",2106,"1985",2.5
"827068",90,2102,"8","41",2137,"1758",17.5
"827069",270,2102,"29","20",2104,"909",1
"827071",90,2105,"2","30",2138,"2065",16.5
"827072",270,2107,"74","25",2129,"1068",11
"834933",90,2127,"19","33",2140,"142",6.5
"834934",270,2127,"19","13",2128,"216",0.5
"838792",90,2131,"29","74",2167,"2067",18
"838794",270,2138,"62","24",2152,"1900",7
"83949",90,181,"28","31",183,"1725",1
"83950",90,184,"19","74",243,"638",29.5
"842625",90,2149,"4","74",2250,"1254",50.5
"846486",270,2154,"74","11",2177,"257",11.5
"850387",270,2167,"73","24",2186,"2452",9.5
"854248",90,2175,"25","74",2246,"1069",35.5
"861934",270,2196,"41","30",2198,"1759",1
"861935",90,2199,"24","61",2238,"1901",19.5
"873552",90,2222,"27","71",2252,"1664",15
"873553",90,2225,"14","28",2243,"2405",9
"873554",270,2225,"33","19",2228,"1736",1.5
"877465",270,2231,"74","32",2250,"1987",9.5
"877466",270,2238,"28","7",2250,"2406",6
"881292",270,2240,"74","2",2277,"455",18.5
"881293",90,2246,"7","48",2280,"2407",17
"881294",270,2249,"71","27",2271,"1665",11
"893021",90,2272,"2","74",2323,"2259",25.5
"893022",90,2275,"27","71",2309,"1666",17
"896893",90,2284,"2","74",2349,"456",32.5
"900729",90,2293,"35","74",2340,"1071",23.5
"908415",270,2313,"74","18",2337,"2068",12
"91626",270,203,"74","17",220,"1241",8.5
"91628",90,207,"22","74",248,"230",20.5
"920077",90,2344,"18","74",2392,"2069",24
"927858",270,2366,"74","38",2380,"1257",7
"939483",90,2390,"11","29",2424,"922",17
"939484",90,2391,"38","74",2419,"1258",14
"939485",270,2391,"20","2",2395,"1010",2
"939486",270,2393,"74","17",2415,"1989",11
"951092",270,2425,"74","19",2447,"655",11
"95500",90,210,"19","62",251,"770",20.5
"958910",270,2449,"74","29",2464,"1259",7.5
"966611",90,2464,"19","74",2525,"656",30.5
"966612",270,2464,"13","5",2465,"731",0.5
"974328",90,2488,"29","74",2533,"1260",22.5
"982039",270,2508,"74","11",2533,"326",12.5
"985855",90,2511,"36","74",2552,"2321",20.5
"985856",90,2519,"6","71",2598,"1856",39.5
"993532",90,2532,"17","74",2604,"1990",36
